date,open_price,highest_price,lowest_price,close_price,price_change,change_percentage,volume
30/11/2023,"64,777.56","65,061.67","63,830.51","63,830.51","-1,000.00",-0.01,"2,630,600.00"
29/11/2023,"64,872.26","65,156.37","64,588.15","64,777.56",-100,0,"1,419,153.00"
28/11/2023,"64,493.44","64,872.26","63,925.22","64,872.26",400,0.01,"1,957,253.00"
27/11/2023,"64,682.85","64,777.56","64,304.04","64,493.44",-200,0,"1,333,300.00"
24/11/2023,"64,966.96","65,251.08","64,019.92","64,682.85",-400,-0.01,"3,128,900.00"
23/11/2023,"66,103.41","66,198.12","65,061.67","65,061.67",-700,-0.01,"1,653,100.00"
22/11/2023,"65,819.30","66,482.23","65,345.78","65,724.60",-100,0,"1,533,200.00"
21/11/2023,"65,724.60","66,103.41","65,251.08","65,819.30",200,0,"2,989,800.00"
20/11/2023,"65,535.19","66,198.12","65,345.78","65,629.89",-700,-0.01,"2,001,000.00"
17/11/2023,"67,239.86","67,334.56","65,535.19","66,292.82",-300,0,"2,335,800.00"
16/11/2023,"66,861.04","67,523.97","66,198.12","66,576.93",-400,-0.01,"2,368,200.00"
15/11/2023,"66,292.82","67,997.49","66,292.82","66,955.75","1,800.00",0.03,"3,949,400.00"
14/11/2023,"65,345.78","65,724.60","64,588.15","65,251.08",200,0,"2,996,000.00"
13/11/2023,"66,008.71","66,292.82","64,966.96","65,061.67",-900,-0.01,"1,730,800.00"
10/11/2023,"67,050.45","67,050.45","65,914.00","65,914.00","-1,100.00",-0.02,"2,833,100.00"
9/11/2023,"67,808.08","68,281.60","66,955.75","66,955.75",-700,-0.01,"3,420,100.00"
8/11/2023,"67,050.45","67,713.38","66,103.41","67,618.68",600,0.01,"2,339,600.00"
7/11/2023,"66,766.34","67,050.45","66,103.41","67,050.45",-200,0,"1,474,700.00"
6/11/2023,"66,482.23","67,713.38","66,387.52","67,239.86","1,000.00",0.01,"1,136,800.00"
3/11/2023,"67,145.16","67,145.16","66,103.41","66,292.82",-900,-0.01,"1,692,700.00"
2/11/2023,"66,766.34","67,145.16","66,103.41","67,145.16",500,0.01,"2,390,200.00"
1/11/2023,"65,345.78","66,766.34","64,304.04","66,671.64","2,400.00",0.04,"2,337,200.00"
31/10/2023,"64,304.04","65,819.30","64,019.92","64,398.74",400,0.01,"2,183,600.00"
30/10/2023,"64,304.04","64,398.74","63,546.40","64,019.92",-400,-0.01,"1,112,000.00"
27/10/2023,"63,735.81","64,398.74","63,072.88","64,398.74","1,000.00",0.01,"1,811,000.00"
26/10/2023,"64,872.26","64,966.96","62,409.95","63,451.70","-2,000.00",-0.03,"5,201,700.00"
25/10/2023,"66,576.93","67,050.45","65,345.78","65,345.78","-1,300.00",-0.02,"2,477,700.00"
24/10/2023,"66,482.23","67,050.45","66,387.52","66,576.93",100,0,"1,099,508.00"
23/10/2023,"67,902.79","68,186.90","66,387.52","66,482.23","-2,100.00",-0.03,"2,804,900.00"
20/10/2023,"67,523.97","68,660.42","66,482.23","68,471.01",900,0.01,"2,371,808.00"
19/10/2023,"69,512.76","69,512.76","67,145.16","67,618.68","-2,500.00",-0.03,"4,007,700.00"
18/10/2023,"70,838.61","70,838.61","68,565.72","69,986.28",-900,-0.01,"2,572,400.00"
17/10/2023,"71,312.13","72,069.77","70,838.61","70,838.61",-400,-0.01,"1,595,900.00"
16/10/2023,"71,122.73","71,785.65","70,743.91","71,217.43",-600,-0.01,"1,374,400.00"
